id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,company_process_time,company_size,company_industry,salary,experience_years,experience_group,range_gaji,median_salary_by_level,salary_competitiveness_index,median_salary_by_location,salary_vs_location
80,"Regional Sales Manager (Jabar, Jabodetabek)",Jawa Barat,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",29 days,201 - 500 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,11500000.0,5,4-5,10 - 20 juta,10500000.0,109.52,5000000.0,230.0
92,DISTRIBUTION CENTER MANAGER,Jawa Timur,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",22 days,501 - 1000 pekerja,Makanan & Minuman/Katering/Restoran,22500000.0,3,2-3,> 20 juta,6000000.0,375.0,4575000.0,491.8
93,API PROGRAMMER,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak Terspesifikasi,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",23 days,2001 - 5000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,6750000.0,2,2-3,5 - 10 juta,6000000.0,112.5,6000000.0,112.5
94,Technical Designer dan Estimator,Banten,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",20 days,501 - 1000 pekerja,Manufaktur/Produksi,6750000.0,2,2-3,5 - 10 juta,6000000.0,112.5,5000000.0,135.0
113,Taxation Staff,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",28 days,1- 50 pekerja,Transportasi/Logistik,6000000.0,1,0-1,5 - 10 juta,4700000.0,127.66,7100000.0,84.51
122,Education Content Creator,Jakarta Timur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak Terspesifikasi,Paruh Waktu,"Penjualan / Pemasaran,Digital Marketing",29 days,51 - 200 pekerja,Pendidikan,4500000.0,1,0-1,2 - 5 juta,4700000.0,95.74,6000000.0,75.0
123,Finance & Accounting Manager - Port Management - Subang (A-73378),Jawa Barat,IDR,Manajer/Asisten Manajer,3 tahun,Diploma (D3/D4),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",19 days,1- 50 pekerja,Manajemen/Konsulting HR,16000000.0,3,2-3,10 - 20 juta,6000000.0,266.67,5000000.0,320.0
130,Senior Infosec Engineer,Jakarta Selatan,IDR,Supervisor/Koordinator,4 tahun,SMA/SMK,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",28 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",12000000.0,4,4-5,10 - 20 juta,10500000.0,114.29,7100000.0,169.01
154,Senior Software Engineer - Android Mobile,Jakarta Selatan,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",28 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",12000000.0,3,2-3,10 - 20 juta,6000000.0,200.0,7100000.0,169.01
157,Waitress/Waiter,Jawa Timur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,SMA/SMK,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",1 day,1- 50 pekerja,Makanan & Minuman/Katering/Restoran,2400000.0,1,0-1,2 - 5 juta,4700000.0,51.06,4575000.0,52.46
163,Digital and Social Media Executive (Travel & Lifestyle PR),Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",29 days,1- 50 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,11048975.0,2,2-3,10 - 20 juta,6000000.0,184.15,6000000.0,184.15
170,Supervisor HRD & GA,Jakarta Pusat,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",1 day,51 - 200 pekerja,Umum & Grosir,6500000.0,2,2-3,5 - 10 juta,6000000.0,108.33,6000000.0,108.33
174,"Senior Financial Advisor (Bancassurance) - JAKARTA PUSAT, PONDOK KELAPA, CIKINI, THAMRIN",Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",27 days,501 - 1000 pekerja,Perbankan/Pelayanan Keuangan,4500000.0,2,2-3,2 - 5 juta,6000000.0,75.0,6750000.0,66.67
176,Finance & Adminitration HEAD,Jakarta Selatan,IDR,Manajer/Asisten Manajer,2 tahun,Diploma (D3/D4),Penuh Waktu,"Akuntansi / Keuangan,Keuangan / Investasi Perusahaan ",30 days,201 - 500 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,12300000.0,2,2-3,10 - 20 juta,6000000.0,205.0,7100000.0,173.24
182,Site Surveyor,Semarang,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,Diploma (D3/D4),Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",29 days,1- 50 pekerja,Konstruksi/Bangunan/Teknik,6600000.0,5,4-5,5 - 10 juta,10500000.0,62.86,4100000.0,160.98
183,Network Monitoring,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Kontrak,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",29 days,501 - 1000 pekerja,Telekomunikasi,5750000.0,1,0-1,5 - 10 juta,4700000.0,122.34,7100000.0,80.99
189,Accounting Staff,Jambi,IDR,Supervisor/Koordinator,1 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",12 days,Lebih dari 5000 pekerja,Kayu/Fiber/Kertas,4000000.0,1,0-1,2 - 5 juta,4700000.0,85.11,3450000.0,115.94
191,Compliance - Risk Management (Major in Statistics): Supervisor - Assistant Manager – Manager,Jakarta Raya,IDR,Manajer/Asisten Manajer,4 tahun,Sarjana (S1),Penuh Waktu,"Sains,Aktuaria/Statistik",24 days,1001 - 2000 pekerja,Perbankan/Pelayanan Keuangan,9600000.0,4,4-5,5 - 10 juta,10500000.0,91.43,6750000.0,142.22
205,Senior Associate ( Ass Manager ),Jakarta Raya,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Paruh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",6 days,1- 50 pekerja,Asuransi,9720000.0,3,2-3,5 - 10 juta,6000000.0,162.0,6750000.0,144.0
208,Teknisi Maintenance (Sipil),Cikarang,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,Diploma (D3/D4),Kontrak,"Manufaktur,Pemeliharaan",15 days,51 - 200 pekerja,Properti/Real Estate,4750000.0,5,4-5,2 - 5 juta,10500000.0,45.24,6250000.0,76.0
212,Telemarketing Specialist,Bali,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,SMA/SMK,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",21 days,1- 50 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,3700000.0,1,0-1,2 - 5 juta,4700000.0,78.72,6500000.0,56.92
214,Utility & Environmental Assistant Manager,Jawa Barat,IDR,Manajer/Asisten Manajer,10 tahun,Tidak Terspesifikasi,Penuh Waktu,"Teknik,Teknik Lingkungan",29 days,201 - 500 pekerja,Manufaktur/Produksi,16500000.0,10,6-10,10 - 20 juta,17500000.0,94.29,5000000.0,330.0
224,Sales Engineer (South Sumatera & up ),Palembang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT",27 days,1- 50 pekerja,Industri Berat/Mesin/Peralatan,5750000.0,2,2-3,5 - 10 juta,6000000.0,95.83,4500000.0,127.78
230,Sales Canvasser,Jakarta Raya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,0 tahun,SMA/SMK,Kontrak,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",28 days,51 - 200 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,3000000.0,0,0-1,2 - 5 juta,4700000.0,63.83,6750000.0,44.44
247,Guest Relation Officer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),0 tahun,Tidak Terspesifikasi,Kontrak,"Pelayanan,Layanan Pelanggan",25 days,1- 50 pekerja,Manajemen/Konsulting HR,4740000.0,0,0-1,2 - 5 juta,4700000.0,100.85,6750000.0,70.22
250,Teknisi Alat Kapal,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,SMA/SMK,Penuh Waktu,"Teknik,Teknik Lainnya",22 days,51 - 200 pekerja,Umum & Grosir,4750000.0,2,2-3,2 - 5 juta,6000000.0,79.17,6000000.0,79.17
251,Desain Grafis,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif",17 days,51 - 200 pekerja,Retail/Merchandise,5400000.0,2,2-3,5 - 10 juta,6000000.0,90.0,7100000.0,76.06
260,Marketing Executive,Jakarta Selatan,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",28 days,51 - 200 pekerja,Properti/Real Estate,8500000.0,5,4-5,5 - 10 juta,10500000.0,80.95,7100000.0,119.72
264,Sales Executive - Area Jakarta & Surabaya,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",9 days,1- 50 pekerja,Industri Berat/Mesin/Peralatan,5700000.0,1,0-1,5 - 10 juta,4700000.0,121.28,6000000.0,95.0
283,Warehouse Supervisor,Banten,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Kontrak,"Manufaktur,Pembelian/Manajemen Material",27 days,1- 50 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,7000000.0,5,4-5,5 - 10 juta,10500000.0,66.67,5000000.0,140.0
299,ADMINISTRATION HEAD DEALER (ADH),Jakarta Selatan,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",29 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,6680500.0,5,4-5,5 - 10 juta,10500000.0,63.62,7100000.0,94.09
303,Field Collector Area PALEMBANG,Palembang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,SMA/SMK,Kontrak,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ",28 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,2760000.0,2,2-3,2 - 5 juta,6000000.0,46.0,4500000.0,61.33
316,SEO Specialist,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",21 days,51 - 200 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,7200000.0,2,2-3,5 - 10 juta,6000000.0,120.0,6000000.0,120.0
318,Site Engineer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak Terspesifikasi,Kontrak,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",30 days,51 - 200 pekerja,Konstruksi/Bangunan/Teknik,8500000.0,3,2-3,5 - 10 juta,6000000.0,141.67,6750000.0,125.93
319,CUSTOMER SERVICE,Jakarta Pusat,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,0 tahun,Diploma (D3/D4),Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",4 days,51 - 200 pekerja,Umum & Grosir,4650500.0,0,0-1,2 - 5 juta,4700000.0,98.95,6000000.0,77.51
326,Asisten Associate Manager,Jakarta Raya,IDR,Manajer/Asisten Manajer,3 tahun,Tidak Terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",24 days,1- 50 pekerja,Akunting / Audit / Layanan Pajak,12000000.0,3,2-3,10 - 20 juta,6000000.0,200.0,6750000.0,177.78
334,HRGA Supervisor (Site),Sulawesi Tengah,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,Diploma (D3/D4),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",29 days,501 - 1000 pekerja,Pertambangan,8500000.0,1,0-1,5 - 10 juta,4700000.0,180.85,8500000.0,100.0
354,Business Analyst and Development,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ",16 days,201 - 500 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),9000000.0,2,2-3,5 - 10 juta,6000000.0,150.0,6000000.0,150.0
365,Senior Data Scientist (IT),Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",28 days,2001 - 5000 pekerja,Manajemen/Konsulting HR,6500000.0,2,2-3,5 - 10 juta,6000000.0,108.33,6750000.0,96.3
373,Marketing Support Specialist,Bandung,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",27 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),4000000.0,1,0-1,2 - 5 juta,4700000.0,85.11,5000000.0,80.0
374,Bancassurance Life Consultant - (Padang),Padang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",14 days,1001 - 2000 pekerja,Asuransi,4000000.0,2,2-3,2 - 5 juta,6000000.0,66.67,3750000.0,106.67
389,Sales Executive (Alkes) - Jakarta,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",25 days,201 - 500 pekerja,Umum & Grosir,5000000.0,2,2-3,5 - 10 juta,6000000.0,83.33,6750000.0,74.07
392,Sales & Promotion Assistant Manager - Property - Tangerang (B-66393),Tangerang,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",19 days,1- 50 pekerja,Manajemen/Konsulting HR,20000000.0,5,4-5,> 20 juta,10500000.0,190.48,5500000.0,363.64
406,Supervisor Personalia & General Affair,Jakarta Barat,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",19 days,501 - 1000 pekerja,Retail/Merchandise,6500000.0,3,2-3,5 - 10 juta,6000000.0,108.33,6000000.0,108.33
413,Management System & Business Document Control,Jakarta Raya,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",29 days,1001 - 2000 pekerja,Telekomunikasi,6500000.0,5,4-5,5 - 10 juta,10500000.0,61.9,6750000.0,96.3
415,Content Creator,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",21 days,1- 50 pekerja,Umum & Grosir,5500000.0,3,2-3,5 - 10 juta,6000000.0,91.67,6000000.0,91.67
421,Magang Recruitment & People Development,Jakarta Raya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,0 tahun,Sarjana (S1),Magang,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",24 days,Lebih dari 5000 pekerja,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,1300000.0,0,0-1,< 2 juta,4700000.0,27.66,6750000.0,19.26
426,Marketing Executive,Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",30 days,1- 50 pekerja,Lainnya,6000000.0,2,2-3,5 - 10 juta,6000000.0,100.0,5400000.0,111.11
436,Merchandiser (MD) - Baturaja,Sumatera Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Kontrak,"Penjualan / Pemasaran,Merchandising",28 days,2001 - 5000 pekerja,Telekomunikasi,2500000.0,1,0-1,2 - 5 juta,4700000.0,53.19,4200000.0,59.52
441,Staf Admin,Jawa Timur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",9 days,51 - 200 pekerja,Manufaktur/Produksi,3250000.0,1,0-1,2 - 5 juta,4700000.0,69.15,4575000.0,71.04
442,Medical Representative Probolinggo,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",17 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,6500000.0,2,2-3,5 - 10 juta,6000000.0,108.33,6750000.0,96.3
465,Scrum Master,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",29 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",12000000.0,1,0-1,10 - 20 juta,4700000.0,255.32,6750000.0,177.78
469,INSPECTOR SERANG,Serang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak Terspesifikasi,Penuh Waktu,"Teknik,Mekanikal",21 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,5400000.0,2,2-3,5 - 10 juta,6000000.0,90.0,5700000.0,94.74
471,Sales Staff - Cikarang,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",26 days,1001 - 2000 pekerja,Manajemen/Konsulting HR,5500000.0,3,2-3,5 - 10 juta,6000000.0,91.67,6750000.0,81.48
477,Manager Tax & Pajak,Jakarta Raya,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",27 days,1- 50 pekerja,Akunting / Audit / Layanan Pajak,15000000.0,5,4-5,10 - 20 juta,10500000.0,142.86,6750000.0,222.22
479,PI-RND,Jakarta Timur,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Sains,Teknologi Makanan/Ahli Gizi",25 days,1- 50 pekerja,Makanan & Minuman/Katering/Restoran,5000000.0,2,2-3,5 - 10 juta,6000000.0,83.33,6000000.0,83.33
484,Junior Underwriter,Surabaya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,0 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ",20 days,201 - 500 pekerja,Asuransi,4250000.0,0,0-1,2 - 5 juta,4700000.0,90.43,4700000.0,90.43
492,Mining Engineering,Kapuas,IDR,Supervisor/Koordinator,5 tahun,Tidak Terspesifikasi,Penuh Waktu,"Teknik,Teknik Lainnya",28 days,201 - 500 pekerja,Pertambangan,18000000.0,5,4-5,10 - 20 juta,10500000.0,171.43,18000000.0,100.0
496,Account Manager / Sales for IT System Integrator ( IT Project Solution ),Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,SMA/SMK,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",23 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Keras),14000000.0,5,4-5,10 - 20 juta,10500000.0,133.33,6000000.0,233.33
505,HR Supervisor,Yogyakarta,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",7 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",4250000.0,3,2-3,2 - 5 juta,6000000.0,70.83,3875000.0,109.68
507,SYSTEM ENGINEER,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",17 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),11250000.0,1,0-1,10 - 20 juta,4700000.0,239.36,6750000.0,166.67
514,SALES EXECUTIVE,Cianjur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Diploma (D3/D4),Kontrak,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",29 days,201 - 500 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,2185000.0,1,0-1,2 - 5 juta,4700000.0,46.49,3875000.0,56.39
516,STORE MANAGER,Jakarta Timur,IDR,Manajer/Asisten Manajer,10 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",29 days,51 - 200 pekerja,Retail/Merchandise,9000000.0,10,6-10,5 - 10 juta,17500000.0,51.43,6000000.0,150.0
527,DIGITAL MARKETING,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak Terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",29 days,51 - 200 pekerja,Transportasi/Logistik,5160000.0,1,0-1,5 - 10 juta,4700000.0,109.79,5500000.0,93.82
534,Warehouse Manager,Bandung,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",11 days,51 - 200 pekerja,Retail/Merchandise,9000000.0,5,4-5,5 - 10 juta,10500000.0,85.71,5000000.0,180.0
556,SALES MANAGER ( HOME APPLIANCE ),Jakarta Utara,IDR,Manajer/Asisten Manajer,8 tahun,SMA/SMK,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",29 days,1001 - 2000 pekerja,Umum & Grosir,9600000.0,8,6-10,5 - 10 juta,17500000.0,54.86,6000000.0,160.0
577,Senior Account Manager Corporate,Jakarta Raya,IDR,Supervisor/Koordinator,2 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",29 days,Lebih dari 5000 pekerja,Manajemen/Konsulting HR,10500000.0,2,2-3,10 - 20 juta,6000000.0,175.0,6750000.0,155.56
582,Accounting & HR Manager,Badung,IDR,Manajer/Asisten Manajer,5 tahun,Tidak Terspesifikasi,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",21 days,201 - 500 pekerja,Retail/Merchandise,16000000.0,5,4-5,10 - 20 juta,10500000.0,152.38,4800000.0,333.33
593,"Sales Mesin (Bandung,Garut,Tasikmalaya)",Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,SMA/SMK,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",28 days,51 - 200 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,4800000.0,2,2-3,2 - 5 juta,6000000.0,80.0,5000000.0,96.0
598,Sales Executive,Bali,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",22 days,1- 50 pekerja,Industri Berat/Mesin/Peralatan,9200000.0,5,4-5,5 - 10 juta,10500000.0,87.62,6500000.0,141.54
